dataset,capacity_percent,metric,variant_a,variant_b,mean_delta,median_delta,bootstrap_ci95_low,bootstrap_ci95_high,n_paired_slots,seed
wiki2018,1.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_uniform_cap020,0.0004530000000000022,3.500000000000725e-05,0.00022788888888889168,0.0007052222222222237,90,42
wiki2018,1.0,admission_hit_yield,full_cap020,precision_only_budget_matched_uniform_cap020,-0.06261938734337871,-0.02598974696832118,-0.12569596199355676,-0.021228918877035013,90,42
wiki2018,1.0,pollution_proxy,full_cap020,precision_only_budget_matched_uniform_cap020,0.00981258760998394,0.009092248510565337,0.006505440067939814,0.013062099444943527,88,42
wiki2018,1.0,admission_precision,full_cap020,precision_only_budget_matched_uniform_cap020,-0.005137282990492491,-0.003995089159924331,-0.0075214000000772,-0.002903361519790137,89,42
wiki2018,1.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_uniform_cap020,-21.755555555555556,0.0,-40.2,-1.7666666666666666,90,42
wiki2018,1.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_random_cap020,0.00034144444444444543,3.500000000000725e-05,0.0001260000000000045,0.0005971111111111167,90,42
wiki2018,1.0,admission_hit_yield,full_cap020,precision_only_budget_matched_random_cap020,-32.17174007144322,-0.009799350410434005,-85.37650858741175,-2.3015792871109992,90,42
wiki2018,1.0,pollution_proxy,full_cap020,precision_only_budget_matched_random_cap020,0.009057300768107523,0.003493580355399317,0.004256242928788301,0.014207972757321871,82,42
wiki2018,1.0,admission_precision,full_cap020,precision_only_budget_matched_random_cap020,-0.005880946310828591,-0.0017761989342806317,-0.009596752730121156,-0.0027106963748059058,83,42
wiki2018,1.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_random_cap020,-15.033333333333333,0.0,-52.477777777777774,31.9,90,42
wiki2018,1.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,1.0,admission_hit_yield,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,1.0,pollution_proxy,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,1.0,admission_precision,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,1.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,1.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_permuted_cap020,0.011332777777777782,0.0016999999999999793,0.008167555555555562,0.014823000000000006,90,42
wiki2018,1.0,admission_hit_yield,full_cap020,precision_only_budget_replay_permuted_cap020,-0.7337411858798714,-0.11452885251655387,-1.3653635430216158,-0.249487523561278,90,42
wiki2018,1.0,pollution_proxy,full_cap020,precision_only_budget_replay_permuted_cap020,0.039061809853710716,0.01922453899525292,0.02279322983582436,0.05562641803037574,88,42
wiki2018,1.0,admission_precision,full_cap020,precision_only_budget_replay_permuted_cap020,-0.031232814783496796,-0.00858330199685671,-0.047482054241258786,-0.017145316775481048,89,42
wiki2018,1.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_permuted_cap020,0.0,-5.0,-77.46666666666667,76.56666666666666,90,42
wiki2018,1.0,slot_hit_ratio,precision_only_cap020,cap_only_cap020,0.003463888888888889,0.0012900000000000134,0.0024518888888888837,0.0045867777777777825,90,42
wiki2018,1.0,admission_hit_yield,precision_only_cap020,cap_only_cap020,-0.1991825619955147,-0.006856867976194336,-0.5211605178608983,-0.02108839391660969,90,42
wiki2018,1.0,pollution_proxy,precision_only_cap020,cap_only_cap020,0.003706817367818904,-0.0004826470795057103,-0.0036004252622525903,0.011636548660719871,88,42
wiki2018,1.0,admission_precision,precision_only_cap020,cap_only_cap020,-0.012092122246003928,-0.004501653840961253,-0.019903814333649218,-0.005096935570927971,89,42
wiki2018,1.0,selected_admissions_per_slot,precision_only_cap020,cap_only_cap020,-155.6,-241.0,-193.0222222222222,-113.71111111111111,90,42
wiki2018,2.0,slot_hit_ratio,full_cap020,precision_only_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,admission_hit_yield,full_cap020,precision_only_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,pollution_proxy,full_cap020,precision_only_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,2.0,admission_precision,full_cap020,precision_only_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,2.0,selected_admissions_per_slot,full_cap020,precision_only_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,admission_hit_yield,full_cap020,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,pollution_proxy,full_cap020,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,2.0,admission_precision,full_cap020,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,2.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,admission_hit_yield,full_cap020,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,pollution_proxy,full_cap020,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,2.0,admission_precision,full_cap020,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,2.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,admission_hit_yield,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,pollution_proxy,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,2.0,admission_precision,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,2.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,2.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_permuted_cap020,0.016682000000000006,0.0030950000000000144,0.012055444444444443,0.021839000000000004,90,42
wiki2018,2.0,admission_hit_yield,full_cap020,precision_only_budget_replay_permuted_cap020,-0.5880489211954718,-0.04329658074195425,-1.1691202160105283,-0.14151603794985157,90,42
wiki2018,2.0,pollution_proxy,full_cap020,precision_only_budget_replay_permuted_cap020,0.05095332414977749,0.014860949348145802,0.030866238588448922,0.07242778626810255,88,42
wiki2018,2.0,admission_precision,full_cap020,precision_only_budget_replay_permuted_cap020,-0.023739060516628538,-0.003211789690820966,-0.040800594256173696,-0.008803731454200693,89,42
wiki2018,2.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_permuted_cap020,0.0,-12.5,-212.35555555555555,205.45555555555555,90,42
wiki2018,2.0,slot_hit_ratio,precision_only_cap020,cap_only_cap020,0.001402222222222222,9.99999999995449e-06,0.0005726666666666688,0.0024525555555555546,90,42
wiki2018,2.0,admission_hit_yield,precision_only_cap020,cap_only_cap020,-0.08534987582363979,0.0,-0.24597163058047383,0.00035116751997674536,90,42
wiki2018,2.0,pollution_proxy,precision_only_cap020,cap_only_cap020,0.006039333487306622,0.0,0.0019493487440994182,0.010929081536090178,88,42
wiki2018,2.0,admission_precision,precision_only_cap020,cap_only_cap020,-0.0028770514680138,0.0,-0.005775699895230241,-0.0006461342651232046,89,42
wiki2018,2.0,selected_admissions_per_slot,precision_only_cap020,cap_only_cap020,5.0777777777777775,0.0,-76.84444444444445,102.16666666666667,90,42
wiki2018,3.0,slot_hit_ratio,full_cap020,precision_only_cap020,2.088888888888696e-05,-9.99999999995449e-06,-0.00015100000000000793,0.00020700000000000408,90,42
wiki2018,3.0,admission_hit_yield,full_cap020,precision_only_cap020,-0.0009712202327056317,0.0,-0.024926258893441893,0.019102049772273408,90,42
wiki2018,3.0,pollution_proxy,full_cap020,precision_only_cap020,3.525203571728091e-06,0.0,-0.001666490864347185,0.0020855181764233527,88,42
wiki2018,3.0,admission_precision,full_cap020,precision_only_cap020,0.0001149462182088831,0.0,-0.0003790370783059477,0.0005726110614024994,89,42
wiki2018,3.0,selected_admissions_per_slot,full_cap020,precision_only_cap020,21.744444444444444,0.0,-37.86666666666667,109.46666666666667,90,42
wiki2018,3.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_uniform_cap020,-0.00012755555555555236,-9.99999999995449e-06,-0.00031544444444444843,4.744444444444749e-05,90,42
wiki2018,3.0,admission_hit_yield,full_cap020,precision_only_budget_matched_uniform_cap020,0.0005791155623321417,0.0,-0.024054274276801513,0.02051603666657172,90,42
wiki2018,3.0,pollution_proxy,full_cap020,precision_only_budget_matched_uniform_cap020,-8.084629320387164e-05,0.0,-0.0018207375152152537,0.0020487832421600214,88,42
wiki2018,3.0,admission_precision,full_cap020,precision_only_budget_matched_uniform_cap020,0.00014936955128088352,0.0,-0.00037493598895728115,0.0006385817785165869,89,42
wiki2018,3.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_uniform_cap020,13.7,0.0,-45.65555555555556,102.4,90,42
