dataset,capacity_percent,cache_size_objects,variant,quality_suppressed_total,quality_admitted_total,quality_suppressed_next_slot_requests_total,quality_admitted_next_slot_requests_total,quality_suppressed_next_slot_request_rate,quality_admitted_next_slot_request_rate,quality_admitted_to_suppressed_request_ratio,quality_action_rate,quality_suppression_rate,quality_masked_by_cap_rate,quality_masked_by_rounding_rate,top_percent_cap_binding_rate,mean_score_quality_mult,median_score_quality_mult
wiki2018,4.0,80617,full_cap020,1674.0,9501.0,184.0,1506.0,0.10991636798088411,0.15850963056520367,1.4420930519899509,0.022222222222222223,0.4,0.37777777777777777,0.0,0.8777777777777778,0.8890432401875654,1.0
wiki2018,4.0,80617,precision_only_budget_matched_permuted_quality_cap020,3142.0,8062.0,256.0,1275.0,0.08147676639083386,0.1581493425948896,1.9410360720044655,0.022222222222222223,0.43333333333333335,0.4111111111111111,0.0,0.8777777777777778,0.8790380020441673,1.0
wiki2018,4.0,80617,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8555555555555555,1.0,1.0
wiki2018,4.0,80617,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8777777777777778,1.0,1.0
wiki2018,4.0,80617,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8777777777777778,1.0,1.0
wiki2018,4.0,80617,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.45555555555555555,1.0,1.0
wiki2018,4.0,80617,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8777777777777778,1.0,1.0
wiki2018,5.0,100772,full_cap020,3655.0,10078.0,328.0,1312.0,0.08974008207934336,0.13018456042865648,1.4506846596546934,0.022222222222222223,0.4777777777777778,0.45555555555555555,0.0,0.8666666666666667,0.863020669687626,1.0
wiki2018,5.0,100772,precision_only_budget_matched_permuted_quality_cap020,3780.0,10168.0,336.0,1327.0,0.08888888888888889,0.130507474429583,1.4682090873328086,0.022222222222222223,0.4444444444444444,0.4222222222222222,0.0,0.8666666666666667,0.8675981131985662,1.0
wiki2018,5.0,100772,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8777777777777778,1.0,1.0
wiki2018,5.0,100772,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8777777777777778,1.0,1.0
wiki2018,5.0,100772,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8666666666666667,1.0,1.0
wiki2018,5.0,100772,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.3888888888888889,1.0,1.0
wiki2018,5.0,100772,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8777777777777778,1.0,1.0
wikipedia_september_2007,0.8,12221,full_cap020,5066.0,13629.0,1708.0,4669.0,0.3371496249506514,0.34257832562917306,1.0161017550570202,0.725,0.7625,0.0,0.0,0.0,0.7928101078712946,0.7
wikipedia_september_2007,0.8,12221,precision_only_budget_matched_permuted_quality_cap020,3658.0,8912.0,1229.0,3130.0,0.33597594313832696,0.3512118491921005,1.0453482053252268,0.4875,0.4875,0.0,0.0,0.0,0.8577585368470867,1.0
wikipedia_september_2007,0.8,12221,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,0.8,12221,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,0.8,12221,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,0.8,12221,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,0.8,12221,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,1.0,15277,full_cap020,5778.0,15495.0,1361.0,4664.0,0.23554863274489443,0.30100032268473703,1.2778691142339533,0.6625,0.7375,0.0,0.0,0.0,0.797161409186865,0.7
wikipedia_september_2007,1.0,15277,precision_only_budget_matched_permuted_quality_cap020,4664.0,11793.0,1014.0,3704.0,0.217409948542024,0.31408462647333163,1.4446653825163893,0.5125,0.5125,0.0,0.0,0.0,0.8545261940081194,0.9638958545790204
wikipedia_september_2007,1.0,15277,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,1.0,15277,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,1.0,15277,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,1.0,15277,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,1.0,15277,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0
wikipedia_september_2007,2.0,30554,full_cap020,0.0,0.0,0.0,0.0,,,,0.0375,0.725,0.6875,0.0,0.825,0.8000078051437052,0.7
wikipedia_september_2007,2.0,30554,precision_only_budget_matched_permuted_quality_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.5,0.5,0.0,0.825,0.8552863362350461,0.9793769353988238
wikipedia_september_2007,2.0,30554,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.825,1.0,1.0
wikipedia_september_2007,2.0,30554,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.825,1.0,1.0
wikipedia_september_2007,2.0,30554,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.825,1.0,1.0
wikipedia_september_2007,2.0,30554,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.575,1.0,1.0
wikipedia_september_2007,2.0,30554,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.825,1.0,1.0
wikipedia_september_2007,3.0,45831,full_cap020,194.0,4508.0,29.0,1331.0,0.14948453608247422,0.29525288376220055,1.9751399810298933,0.0125,0.675,0.6625,0.0,0.8625,0.8227712540648928,0.7
wikipedia_september_2007,3.0,45831,precision_only_budget_matched_permuted_quality_cap020,123.0,2861.0,22.0,477.0,0.17886178861788618,0.16672492135616918,0.9321438784913094,0.0125,0.4875,0.475,0.0,0.8625,0.8593811816766976,1.0
wikipedia_september_2007,3.0,45831,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8625,1.0,1.0
wikipedia_september_2007,3.0,45831,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8625,1.0,1.0
wikipedia_september_2007,3.0,45831,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8625,1.0,1.0
wikipedia_september_2007,3.0,45831,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.5,1.0,1.0
wikipedia_september_2007,3.0,45831,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8625,1.0,1.0
wikipedia_september_2007,4.0,61109,full_cap020,1081.0,7891.0,126.0,1660.0,0.11655874190564293,0.21036624002027626,1.8048087735072906,0.025,0.725,0.7,0.0,0.85,0.7983672415726508,0.7
wikipedia_september_2007,4.0,61109,precision_only_budget_matched_permuted_quality_cap020,163.0,3802.0,22.0,540.0,0.13496932515337423,0.14203051025775906,1.0523169623643058,0.0125,0.5125,0.5,0.0,0.85,0.8546539019608492,0.9644029649765589
wikipedia_september_2007,4.0,61109,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8375,1.0,1.0
wikipedia_september_2007,4.0,61109,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.85,1.0,1.0
wikipedia_september_2007,4.0,61109,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.85,1.0,1.0
wikipedia_september_2007,4.0,61109,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.425,1.0,1.0
wikipedia_september_2007,4.0,61109,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.85,1.0,1.0
wikipedia_september_2007,5.0,76386,full_cap020,2253.0,12593.0,127.0,2083.0,0.056369285397248114,0.1654093544032399,2.9343879958307046,0.0375,0.725,0.6875,0.0,0.8375,0.7943181676231124,0.7
wikipedia_september_2007,5.0,76386,precision_only_budget_matched_permuted_quality_cap020,108.0,4835.0,7.0,579.0,0.06481481481481481,0.11975180972078593,1.8475993499778403,0.0125,0.5125,0.5,0.0,0.8375,0.8520469210959419,0.9318768438376701
wikipedia_september_2007,5.0,76386,precision_only_budget_matched_random_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8125,1.0,1.0
wikipedia_september_2007,5.0,76386,precision_only_budget_matched_uniform_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8375,1.0,1.0
wikipedia_september_2007,5.0,76386,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8375,1.0,1.0
wikipedia_september_2007,5.0,76386,precision_only_budget_replay_permuted_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.3625,1.0,1.0
wikipedia_september_2007,5.0,76386,precision_only_cap020,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.8375,1.0,1.0
