dataset,variant,avg_hit_ratio,avg_delta_hr_vs_full_cap020,avg_total_selected_admissions,avg_selected_match_ratio_vs_full_cap020,avg_hit_yield_per_admission,avg_pollution_ratio,avg_admission_precision,avg_budget_replay_exact_slot_match_rate,avg_budget_replay_clamp_rate
wiki2018,full_cap020,0.5367095185185186,0.0,103559.16666666667,1.0,0.7659713629411034,0.5723116335695357,0.1068634509810213,,
wiki2018,precision_only_budget_matched_permuted_quality_cap020,0.5367271666666666,1.764814814814164e-05,103531.66666666667,1.0041983845543867,0.7617201147419085,0.5715193143481851,0.10689126053831834,,
wiki2018,precision_only_budget_matched_random_cap020,0.536613611111111,-9.590740740741029e-05,103302.33333333333,1.003580669752687,0.7587840376331266,0.5717109657754779,0.10646848457188501,,
wiki2018,precision_only_budget_matched_uniform_cap020,0.5365960555555555,-0.00011346296296296798,103772.16666666667,1.0070639224718778,0.7596093885528031,0.5719856648773008,0.10659414093824682,,
wiki2018,precision_only_budget_replay_cap020,0.5367095185185186,0.0,103559.16666666667,1.0,0.7659713629411034,0.5723116335695357,0.1068634509810213,1.0,0.0
wiki2018,precision_only_budget_replay_permuted_cap020,0.5126226481481481,-0.024086870370370366,103559.16666666667,1.0,0.7933801946586684,0.573433267707773,0.10805601363240512,1.0,0.0
wiki2018,precision_only_cap020,0.536762111111111,5.2592592592585565e-05,104953.33333333333,1.0323877219460147,0.7407688872127848,0.5732507083064595,0.10500262582064333,,
wikipedia_september_2007,full_cap020,0.6752406249999999,0.0,68595.0,1.0,1.39525029421377,0.6191132561792073,0.0986955985656341,,
wikipedia_september_2007,precision_only_budget_matched_permuted_quality_cap020,0.6752554583333333,1.4833333333352794e-05,69533.66666666667,1.0194285860689132,1.3635592208957161,0.6203112306806156,0.09752024911843767,,
wikipedia_september_2007,precision_only_budget_matched_random_cap020,0.675021625,-0.00021900000000000622,69363.16666666667,1.0185055127192382,1.3605842387884854,0.6211297354638258,0.09693173980675578,,
wikipedia_september_2007,precision_only_budget_matched_uniform_cap020,0.6750068125,-0.00023381249999996726,69476.5,1.0231464856241022,1.3514474083419579,0.6202676044926737,0.09677111547745569,,
wikipedia_september_2007,precision_only_budget_replay_cap020,0.6752427500000001,2.1250000000194724e-06,68595.0,1.0,1.395295059087955,0.619110944109316,0.0987312508572029,1.0,0.0
wikipedia_september_2007,precision_only_budget_replay_permuted_cap020,0.653623,-0.021617625000000012,68595.0,1.0,1.3965624042508058,0.6276200127323237,0.09781782921104443,1.0,0.0
wikipedia_september_2007,precision_only_cap020,0.6752042708333333,-3.635416666665966e-05,70985.66666666667,1.066109913061885,1.2843149039278177,0.6248147961846394,0.0939058986432607,,
